City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Hobart,AU,2022-09-08 02:06:41,-42.8794,147.3294,57.25,82,75,6.91,broken clouds
60,Huilong,CN,2022-09-08 02:16:38,31.8111,121.655,80.62,57,30,7.94,scattered clouds
61,Karratha,AU,2022-09-08 02:12:42,-20.7377,116.8463,75.74,32,0,8.3,clear sky
62,Atasu,KZ,2022-09-08 02:16:41,48.6814,71.6433,54.09,33,100,5.97,overcast clouds
63,Naze,JP,2022-09-08 02:12:33,28.3667,129.4833,86.92,76,87,11.18,overcast clouds
64,Zyryanka,RU,2022-09-08 02:16:42,65.75,150.85,61.32,53,52,26.57,broken clouds
65,Karpogory,RU,2022-09-08 02:16:43,64.0019,44.4451,34.7,98,77,5.46,broken clouds
66,Shangrao,CN,2022-09-08 02:16:45,28.4532,117.9686,85.05,43,73,3.94,broken clouds
67,Kodiak,US,2022-09-08 02:16:46,57.79,-152.4072,53.11,94,100,17.27,moderate rain
68,Usinsk,RU,2022-09-08 02:16:47,65.9939,57.5281,32.99,94,93,8.03,overcast clouds
69,Glens Falls,US,2022-09-08 02:16:49,43.3095,-73.644,62.51,95,18,1.99,few clouds
70,Esperance,AU,2022-09-08 02:10:37,-33.8667,121.9,56.98,64,100,11.39,overcast clouds
71,Toowoomba,AU,2022-09-08 02:16:51,-27.55,151.9667,62.26,69,100,4.0,overcast clouds
72,Livingston,GB,2022-09-08 02:16:52,55.9029,-3.5226,59.22,95,40,3.44,scattered clouds
73,Praia Da Vitoria,PT,2022-09-08 02:16:53,38.7333,-27.0667,77.25,88,75,15.68,light intensity shower rain
74,Katsuura,JP,2022-09-08 02:07:05,35.1333,140.3,80.62,83,100,19.82,overcast clouds
75,Busselton,AU,2022-09-08 02:06:57,-33.65,115.3333,55.44,70,100,7.96,overcast clouds
76,Ziro,IN,2022-09-08 02:16:56,27.6333,93.8333,59.74,98,100,1.92,overcast clouds
77,Dzilam Gonzalez,MX,2022-09-08 02:16:57,21.2833,-88.9333,78.71,85,100,4.0,overcast clouds
78,Rioja,AR,2022-09-08 02:16:58,-29.4111,-66.8507,69.01,18,1,6.46,clear sky
79,Thinadhoo,MV,2022-09-08 02:17:00,0.5333,72.9333,82.98,67,100,15.32,overcast clouds
